# y z Ft
-7.1999999999999997e-01 -7.1999999999999997e-01 0.0000000000000000e+00
-7.1099999999999997e-01 -7.1999999999999997e-01 -4.5161771725093364e-04
-7.0199999999999996e-01 -7.1999999999999997e-01 -8.8146714108004384e-04
-6.9299999999999995e-01 -7.1999999999999997e-01 -1.2873609915397162e-03
-6.8399999999999994e-01 -7.1999999999999997e-01 -1.6680226475212986e-03
-6.7499999999999993e-01 -7.1999999999999997e-01 -2.0228811082509002e-03
-6.6600000000000004e-01 -7.1999999999999997e-01 -2.3519062286250884e-03
-6.5699999999999992e-01 -7.1999999999999997e-01 -2.6554772487959229e-03
-6.4800000000000002e-01 -7.1999999999999997e-01 -2.9342786397558596e-03
-6.3899999999999990e-01 -7.1999999999999997e-01 -3.1892181743297492e-03
-6.3000000000000000e-01 -7.1999999999999997e-01 -3.4213629168531601e-03
-6.2100000000000000e-01 -7.1999999999999997e-01 -3.6318895141664344e-03
-6.1199999999999999e-01 -7.1999999999999997e-01 -3.8220457740328357e-03
-6.0299999999999998e-01 -7.1999999999999997e-01 -3.9931210427711413e-03
-5.9399999999999997e-01 -7.1999999999999997e-01 -4.1464233492927091e-03
-5.8499999999999996e-01 -7.1999999999999997e-01 -4.2832616748423539e-03
-5.7599999999999996e-01 -7.1999999999999997e-01 -4.4049320430476629e-03
-5.6699999999999995e-01 -7.1999999999999997e-01 -4.5127064093939441e-03
-5.5799999999999994e-01 -7.1999999999999997e-01 -4.6078235685187117e-03
-5.4899999999999993e-01 -7.1999999999999997e-01 -4.6914814968876967e-03
-5.4000000000000004e-01 -7.1999999999999997e-01 -4.7648307121941971e-03
-5.3100000000000003e-01 -7.1999999999999997e-01 -4.8289683635487947e-03
-5.2200000000000002e-01 -7.1999999999999997e-01 -4.8849328721668091e-03
-5.1299999999999990e-01 -7.1999999999999997e-01 -4.9336990244419274e-03
-5.0400000000000000e-01 -7.1999999999999997e-01 -4.9761734813166484e-03
-4.9500000000000000e-01 -7.1999999999999997e-01 -5.0131907127186626e-03
-4.8599999999999999e-01 -7.1999999999999997e-01 -5.0455093962341272e-03
-4.7699999999999998e-01 -7.1999999999999997e-01 -5.0738093375728190e-03
-4.6799999999999992e-01 -7.1999999999999997e-01 -5.0986889789298093e-03
-4.5899999999999996e-01 -7.1999999999999997e-01 -5.1206635620125521e-03
-4.4999999999999996e-01 -7.1999999999999997e-01 -5.1401640070082768e-03
-4.4100000000000000e-01 -7.1999999999999997e-01 -5.1575365586359334e-03
-4.3200000000000000e-01 -7.1999999999999997e-01 -5.1730432369885126e-03
-4.2299999999999993e-01 -7.1999999999999997e-01 -5.1868631152795028e-03
-4.1399999999999998e-01 -7.1999999999999997e-01 -5.1990944298480040e-03
-4.0499999999999997e-01 -7.1999999999999997e-01 -5.2097575106884939e-03
-3.9600000000000002e-01 -7.1999999999999997e-01 -5.2187985040501820e-03
-3.8699999999999996e-01 -7.1999999999999997e-01 -5.2260938428670967e-03
-3.7799999999999995e-01 -7.1999999999999997e-01 -5.2314554063875637e-03
-3.6899999999999994e-01 -7.1999999999999997e-01 -5.2346362977173360e-03
-3.5999999999999999e-01 -7.1999999999999997e-01 -5.2353371573271579e-03
-3.5099999999999992e-01 -7.1999999999999997e-01 -5.2332129220695814e-03
-3.4199999999999997e-01 -7.1999999999999997e-01 -5.2278799329908802e-03
-3.3300000000000002e-01 -7.1999999999999997e-01 -5.2189232912350884e-03
-3.2399999999999995e-01 -7.1999999999999997e-01 -5.2059043595822137e-03
-3.1500000000000000e-01 -7.1999999999999997e-01 -5.1883683075533774e-03
-3.0599999999999994e-01 -7.1999999999999997e-01 -5.1658516004223862e-03
-2.9699999999999999e-01 -7.1999999999999997e-01 -5.1378893367291121e-03
-2.8799999999999992e-01 -7.1999999999999997e-01 -5.1040223447990909e-03
-2.7899999999999997e-01 -7.1999999999999997e-01 -5.0638039561186517e-03
-2.7000000000000002e-01 -7.1999999999999997e-01 -5.0168063819613510e-03
-2.6099999999999995e-01 -7.1999999999999997e-01 -4.9626266291641474e-03
-2.5200000000000000e-01 -7.1999999999999997e-01 -4.9008919011623055e-03
-2.4299999999999994e-01 -7.1999999999999997e-01 -4.8312644410605276e-03
-2.3399999999999996e-01 -7.1999999999999997e-01 -4.7534457843994597e-03
-2.2499999999999998e-01 -7.1999999999999997e-01 -4.6671804001377475e-03
-2.1599999999999994e-01 -7.1999999999999997e-01 -4.5722587089873194e-03
-2.0699999999999999e-01 -7.1999999999999997e-01 -4.4685194784081818e-03
-1.9799999999999993e-01 -7.1999999999999997e-01 -4.3558516031048681e-03
-1.8899999999999997e-01 -7.1999999999999997e-01 -4.2341952886054413e-03
-1.7999999999999999e-01 -7.1999999999999997e-01 -4.1035426633081505e-03
-1.7099999999999996e-01 -7.1999999999999997e-01 -3.9639378511387982e-03
-1.6199999999999998e-01 -7.1999999999999997e-01 -3.8154765425888948e-03
-1.5299999999999994e-01 -7.1999999999999997e-01 -3.6583051063450991e-03
-1.4399999999999996e-01 -7.1999999999999997e-01 -3.4926192869465678e-03
-1.3500000000000001e-01 -7.1999999999999997e-01 -3.3186625359190548e-03
-1.2599999999999995e-01 -7.1999999999999997e-01 -3.1367240246610167e-03
-1.1699999999999998e-01 -7.1999999999999997e-01 -2.9471363870509273e-03
-1.0799999999999993e-01 -7.1999999999999997e-01 -2.7502732383843922e-03
-9.8999999999999963e-02 -7.1999999999999997e-01 -2.5465465149343215e-03
-8.9999999999999997e-02 -7.1999999999999997e-01 -2.3364036752753781e-03
